dataset,task_family,detector,detector_version,n_episodes,n_flagged,firing_rate,ci_lower,ci_upper,corrupted_episode_detection_rate,measured_at
lerobot/pusht,pusht,jitter_cv,0.10.1,206,0,0.0,0.0,0.0183,0.6,2026-09-23
lerobot/pusht,pusht,dropout_rate,0.10.1,206,0,0.0,0.0,0.0183,0.2333,2026-09-23
lerobot/pusht,pusht,spike_rate,0.10.1,206,12,0.0583,0.0336,0.099,0.4,2026-09-23
lerobot/pusht,pusht,vel_disc_rate,0.10.1,206,4,0.0194,0.0076,0.0489,0.3333,2026-09-23
lerobot/pusht,pusht,ldlj,0.10.1,206,0,0.0,0.0,0.0183,0.0,2026-09-23
lerobot/aloha_sim_insertion_scripted,aloha,jitter_cv,0.10.1,50,0,0.0,0.0,0.0714,0.1429,2026-09-23
lerobot/aloha_sim_insertion_scripted,aloha,dropout_rate,0.10.1,50,0,0.0,0.0,0.0714,0.1429,2026-09-23
lerobot/aloha_sim_insertion_scripted,aloha,spike_rate,0.10.1,50,4,0.08,0.0315,0.1884,0.8571,2026-09-23
lerobot/aloha_sim_insertion_scripted,aloha,vel_disc_rate,0.10.1,50,0,0.0,0.0,0.0714,0.1429,2026-09-23
lerobot/aloha_sim_insertion_scripted,aloha,ldlj,0.10.1,50,0,0.0,0.0,0.0714,1.0,2026-09-23
